Total U.S. Travel and Tourism,"$7,066","$7,078","$7,685","$7,053","$8,005","$7,739","$6,913","$7,156","$7,025","$8,250","$8,360","$7,901","$7,867","$7,741","$7,927","$7,747","$7,787","$7,921","$7,840","$7,903","$8,086","$7,919","$7,853","$7,703","$7,850","$7,652","$7,384","$8,095","$7,762","$7,503","$7,421","$7,480","$7,473","$7,513","$7,494","$7,796","$7,565","$7,599","$7,827","$7,557","$7,702","$7,800","$8,121","$8,130","$8,337","$8,257","$8,480","$7,500","$8,116","$8,526","$8,399","$9,044","$8,495","$8,677","$8,634","$8,526","$8,667","$8,374","$8,590","$8,512","$8,476","$8,136","$8,164","$7,741","$7,579","$7,715","$7,783","$8,044","$5,283","$4,833","$5,210","$5,666","$6,222","$6,436","$6,612","$6,368","$6,559","$6,570","$6,302","$6,596","$6,343","$6,392","$6,443","$6,537","$6,080","$6,013","$5,602","$5,177","$5,712","$5,895","$6,221","$6,382","$6,514","$6,615","$6,757","$6,811","$6,831","$7,182","$7,322","$7,310","$7,183","$7,274","$7,433","$7,269","$7,290","$7,314","$7,538","$7,687","$7,917","$8,111","$8,261","$8,344","$8,193","$8,120","$8,100","$7,935","$8,271","$8,229","$7,929","$8,199","$8,402","$7,910","$8,076","$8,319","$8,442","$8,230","$8,629","$8,600","$8,652","$8,513","$8,662","$8,775","$9,007","$8,865","$9,407","$9,247","$9,444","$9,550","$9,739","$9,965","$10,044","$10,777","$10,901","$10,973","$11,125","$11,162","$11,636","$11,224","$12,054","$12,073","$11,812","$11,744","$11,019","$11,009","$10,213","$10,506","$9,748","$9,565","$9,414","$9,570","$9,335","$9,365","$9,669","$9,856","$9,838","$10,121","$10,047","$10,254","$10,605","$10,802","$11,013","$10,630","$11,428","$11,564","$11,717","$11,683","$11,954","$12,155","$12,041","$12,247","$9,428","$12,055","$12,482","$12,968","$13,148","$13,304","$13,357","$13,244","$13,043","$13,219","$13,219","$13,132","$12,910","$13,506","$13,798","$13,941","$13,925","$14,044","$13,705","$14,220","$14,115","$13,631","$14,150","$14,164","$14,659","$14,700","$14,865","$14,904","$14,871","$14,965","$15,332","$14,814","$15,160","$15,247","$15,358","$15,593","$15,640","$15,697","$15,539","$15,913","$16,157","$16,202","$16,332","$16,472","$16,566","$16,463","$16,358","$16,490","$16,495","$16,455","$16,669","$16,698","$17,020","$17,408","$17,120","$17,071","$16,834","$16,776","$16,781","$16,862","$16,551","$16,319","$16,429","$16,056","$15,953","$15,935","$16,233","$16,250","$16,256","$16,218","$16,304","$16,374","$16,282","$16,288","$16,137","$16,227","$16,229","$16,305","$16,488","$16,283","$16,575","$16,435","$16,604","$16,568"
      Travel,"$5,442","$5,434","$5,938","$5,487","$6,218","$6,017","$5,309","$5,493","$5,392","$6,419","$6,508","$6,152","$6,156","$6,026","$6,169","$6,025","$6,076","$6,175","$6,111","$6,176","$6,308","$6,154","$6,081","$5,969","$6,148","$5,994","$5,784","$6,307","$6,042","$5,832","$5,732","$5,784","$5,780","$5,906","$5,868","$6,148","$6,014","$6,035","$6,192","$5,991","$6,105","$6,186","$6,479","$6,473","$6,614","$6,595","$6,770","$5,996","$6,558","$6,848","$6,768","$7,219","$6,806","$6,981","$6,968","$6,852","$6,944","$6,694","$6,869","$6,856","$6,745","$6,542","$6,577","$6,199","$6,017","$6,131","$6,176","$6,352","$4,253","$3,806","$4,136","$4,515","$4,895","$5,088","$5,255","$5,072","$5,147","$5,178","$4,972","$5,138","$5,021","$5,045","$5,092","$5,186","$4,839","$4,771","$4,443","$4,118","$4,560","$4,683","$4,945","$5,070","$5,200","$5,287","$5,375","$5,397","$5,436","$5,731","$5,848","$5,803","$5,706","$5,825","$5,883","$5,702","$5,760","$5,882","$6,017","$6,108","$6,359","$6,524","$6,622","$6,647","$6,465","$6,418","$6,269","$6,164","$6,461","$6,425","$6,211","$6,435","$6,576","$6,209","$6,331","$6,538","$6,639","$6,448","$6,783","$6,761","$6,784","$6,721","$6,841","$6,941","$7,135","$7,005","$7,434","$7,325","$7,481","$7,569","$7,649","$7,863","$7,851","$8,408","$8,511","$8,501","$8,663","$8,719","$9,076","$8,770","$9,459","$9,297","$9,087","$8,955","$8,439","$8,468","$7,755","$7,932","$7,316","$7,261","$7,174","$7,331","$7,266","$7,275","$7,583","$7,724","$7,724","$8,014","$7,943","$8,068","$8,373","$8,448","$8,563","$8,299","$8,830","$8,844","$8,960","$9,032","$9,204","$9,376","$9,339","$9,585","$9,428","$9,312","$9,597","$10,028","$10,123","$10,289","$10,106","$9,979","$9,835","$9,983","$9,998","$9,967","$9,824","$10,273","$10,464","$10,608","$10,509","$10,645","$10,438","$10,915","$10,890","$10,450","$10,859","$10,870","$11,367","$11,393","$11,533","$11,528","$11,460","$11,573","$11,804","$11,435","$11,690","$11,800","$11,866","$12,005","$12,210","$12,336","$12,170","$12,261","$12,440","$12,488","$12,541","$12,580","$12,672","$12,641","$12,686","$12,732","$12,943","$12,999","$13,237","$13,207","$13,445","$13,793","$13,495","$13,494","$13,310","$13,299","$13,301","$13,419","$13,201","$13,090","$13,121","$12,817","$12,809","$12,788","$13,030","$12,995","$13,005","$12,947","$12,911","$12,892","$12,905","$12,922","$12,789","$12,942","$12,924","$12,917","$13,012","$12,975","$13,105","$13,001","$13,153","$13,163"
      Passenger fares,"$1,624","$1,644","$1,747","$1,566","$1,787","$1,722","$1,604","$1,663","$1,633","$1,831","$1,852","$1,749","$1,711","$1,715","$1,758","$1,722","$1,711","$1,746","$1,729","$1,727","$1,778","$1,765","$1,772","$1,734","$1,702","$1,658","$1,600","$1,788","$1,720","$1,671","$1,689","$1,696","$1,693","$1,607","$1,626","$1,648","$1,551","$1,564","$1,635","$1,566","$1,597","$1,614","$1,642","$1,657","$1,723","$1,662","$1,710","$1,504","$1,558","$1,678","$1,631","$1,825","$1,689","$1,696","$1,666","$1,674","$1,723","$1,680","$1,721","$1,656","$1,731","$1,594","$1,587","$1,542","$1,562","$1,584","$1,607","$1,692","$1,030","$1,027","$1,074","$1,151","$1,327","$1,348","$1,357","$1,296","$1,412","$1,392","$1,330","$1,458","$1,322","$1,347","$1,351","$1,351","$1,241","$1,242","$1,159","$1,059","$1,152","$1,212","$1,276","$1,312","$1,314","$1,328","$1,382","$1,414","$1,395","$1,451","$1,474","$1,507","$1,477","$1,449","$1,550","$1,567","$1,530","$1,432","$1,521","$1,579","$1,558","$1,587","$1,639","$1,697","$1,728","$1,702","$1,831","$1,771","$1,810","$1,804","$1,718","$1,764","$1,826","$1,701","$1,745","$1,781","$1,803","$1,782","$1,846","$1,839","$1,868","$1,792","$1,821","$1,834","$1,872","$1,860","$1,973","$1,922","$1,963","$1,981","$2,090","$2,102","$2,193","$2,369","$2,390","$2,472","$2,462","$2,443","$2,560","$2,454","$2,595","$2,776","$2,725","$2,789","$2,580","$2,541","$2,458","$2,574","$2,432","$2,304","$2,240","$2,239","$2,069","$2,090","$2,086","$2,132","$2,114","$2,107","$2,104","$2,186","$2,232","$2,354","$2,450","$2,331","$2,598","$2,720","$2,757","$2,651","$2,750","$2,779","$2,702","$2,662",,"$2,743","$2,885","$2,940","$3,025","$3,015","$3,251","$3,265","$3,208","$3,236","$3,221","$3,165","$3,086","$3,233","$3,334","$3,333","$3,416","$3,399","$3,267","$3,305","$3,225","$3,181","$3,291","$3,294","$3,292","$3,307","$3,332","$3,376","$3,411","$3,392","$3,528","$3,379","$3,470","$3,447","$3,492","$3,588","$3,430","$3,361","$3,369","$3,652","$3,717","$3,714","$3,791","$3,892","$3,894","$3,822","$3,672","$3,758","$3,552","$3,456","$3,432","$3,491","$3,575","$3,615","$3,625","$3,577","$3,524","$3,477","$3,480","$3,443","$3,350","$3,229","$3,308","$3,239","$3,144","$3,147","$3,203","$3,255","$3,251","$3,271","$3,393","$3,482","$3,377","$3,366","$3,348","$3,285","$3,305","$3,388","$3,476","$3,308","$3,470","$3,434","$3,451","$3,405"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
